NAME ,NAME (S),DISCLAIMER ,DATA SOURCE/S ,DATA SOURCE/S URL ,COORDINATES - LAT / X,COORDINATES - LONG/ Y,STREET ADDRESS ,CITY (COLONIAL) - EXCLUDE FROM MAP ,PROVINCE/ TERRITORY  (COLONIAL)  - EXCLUDE FROM MAP,ON THE TRADITIONAL LANDS OF (DATA FROM NATIVE-LAND.CA - CONTACT LOCAL NATIONS TO VERIFY) ,IMAGE 1- MAIN ,IMAGE 2 - SECONDARY,DESCRIPTION (LONG) ,PLAQUE/ MARKER TEXT / INSCRIPTION ,ARTIST/ CREATOR,AGENCIES SPONSORING/ MANAGING THE SITE,YEAR DEDICATED ,YEAR CONSTRUCTED ,OBJECT TYPE ,USE TYPES ,USE TYPES 2,SUBJECTS ,SUBJECTS 2,SUBJECTS 3,SUBJECTS 4,HONOREES ,HONOREES 2,HONOREES 3,HONOREES 4,HONOREES 5,HONOREES 6,HONOREES 7,HONOREES 8,HONOREES 9,HONOREES 10,HONOREES 11,HONOREES 12,HONOREES 13,HONOREES 14,HONOREES 15,HONOREES 16,HONOREES 17,HONOREES 18,HONOREES 19,HONOREES 20,HONOREES 21,HONOREES 22,HONOREES 23,HONOREES 24,HONOREES 25,HONOREES 26,HONOREES 27,HONOREES 28,HONOREES 29,HONOREES 30,HONOREES 31,HONOREES 32,HONOREES 33,TAGS,TAGS 2,COMMUNITIES IMPACTED (CROWD-SOURCED),ISSUES REPRESENTED (CROWD-SOURCED),MATERIAL 1,MATERIAL 2,MATERIAL 3,AREA (SQ.KM),HEIGHT (M),WIDTH (M),DEPTH (M),STAGING 1,STAGING 2,STAGING 3,STAGING COMMENTS,GESTURE 1,GESTURE 2,INCLUDES REPLICA? ,YEAR REMOVED (IF APPLICABLE),ADDITIONAL INFORMATION ,
Canadian Rocky Mountain Parks,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",UNESCO ,"https://rmconservancy.org/rocky-mountain-national-park-an-indigenous-history/, https://en.wikipedia.org/wiki/Canadian_Rocky_Mountain_Parks_World_Heritage_Site, http://world-heritage-datasheets.unep-wcmc.org/datasheet/output/site/canadian-rocky-mountain-parks, https://nationalpost.com/news/canada/the-shady-past-of-parks-canada-forced-out-indigenous-people-are-forging-a-comeback","51°25′29″N 
",116°28′47″W,,,,There are dozens of nations who have traditionally occupied these lands. Refer to https://native-land.ca/. ,https://en.wikipedia.org/wiki/File:Rocky_Mountain_World_Heritage_Site_Plaque.jpg ,,"""The contiguous national parks of Banff, Jasper, Kootenay and Yoho, as well as the Mount Robson, Mount Assiniboine and Hamber provincial parks, studded with mountain peaks, glaciers, lakes, waterfalls, canyons and limestone caves, form a striking mountain landscape. The Burgess Shale fossil site, well known for its fossil remains of soft-bodied marine animals, is also found there.""",,,,1983,,Site ,Multiple ,,Multiple ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNESCO,National Park,,,,,,,,,,,,,,,,,,UNESCO World Heritage Site ,
Dinosaur Provincial Park,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ","UNESCO, Alberta Parks ","https://whc.unesco.org/en/list/71, https://www.albertaparks.ca/parks/south/dinosaur-pp/",50°45′42″N ,111°29′06″W,,,Alberta ,"Ĩyãħé Nakón mąkóce (Stoney) 
 Očhéthi Šakówiŋ 
 Niitsítpiis-stahkoii ᖹᐟᒧᐧᐨᑯᐧ ᓴᐦᖾᐟ (Blackfoot / Niitsítapi ᖹᐟᒧᐧᒣᑯ)
 Michif Piyii (Métis)",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/DinosaurProvincialParkHoodoo.jpg/500px-DinosaurProvincialParkHoodoo.jpg,,"""In addition to its particularly beautiful scenery, Dinosaur Provincial Park – located at the heart of the province of Alberta's badlands – contains some of the most important fossil discoveries ever made from the 'Age of Reptiles', in particular about 35 species of dinosaur, dating back some 75 million years.""",,,,1959 and1979,Prehistoric ,Site ,Geological ,,Multiple ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNESCO,,,,,,,"7,825 ha",,,,,,,,,,,,"UNESCO World Heritage Site, IUCN Category III (Natural Monument)",
Gros Morne National Park,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",UNESCO,"https://parks.canada.ca/pn-np/nl/grosmorne, https://whc.unesco.org/en/list/419/ , https://parks.canada.ca/pn-np/nl/grosmorne/info/~/media/DCB68EFA783B4D278784721C738C3699.ashx ",49°41′22″N ,57°44′17″W,,,Newfoundland and Labrador ,"Beothuk
Mi’kma’ki ",https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Western_Brook_Pond_Newfoundland_Canada_DSC_6405.jpg/568px-Western_Brook_Pond_Newfoundland_Canada_DSC_6405.jpg,,"""Gros Morne National Park, located on the Great Northern Peninsula in the Canadian province of Newfoundland and Labrador, illustrates some of the world’s best examples of the process of plate tectonics. Within a relatively small area are classic, textbook examples of monumental earth-building and modifying forces that are unique in terms of their clarity, expression and ease of access. The property presents the complete portrayal of the geological events that took place when the ancient continental margin of North America was modified by plate movement by emplacement of a large, relocated portion of oceanic crust and ocean floor sediments. The park also presents an outstanding demonstration of glaciations in an island setting. The fjords, waterfalls and geological structures of the park combine to produce a landscape of high scenic value.""",,,Provinces of Newfoundland and Labrador,1987,,Site ,Multiple ,,Multiple ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNESCO,National Park,,,,,,"180,500 ha",,,,,,,,,,,,UNESCO World Heritage Site,
Joggins Fossil Cliffs ,"""Long before the beginnings of the science of geology, the Mi’kmaq First Nations people named this place. The earliest record of their place name appears on a 1735 map as Grand Nyjagon. The name has been interpreted since as Chegoggin, “place of the fishing weirs,” or Chegoggins, “the great encampment.” The name eventually became construed as The Joggins, and later, in the time of the earliest geological visitors, to The South Joggins.""","May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",UNESCO,"https://whc.unesco.org/en/list/1285, https://jogginsfossilcliffs.net/cliffs/keepers/",45°41′30.78″N ,64°26′36.85″W,,,Nova Scotia ,"Mi’kma’ki 
Wabanaki (Dawnland Confederacy) ",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Joggins-fossil-cliffs.jpg/500px-Joggins-fossil-cliffs.jpg,,"""The Joggins Fossil Cliffs, a 689 ha palaeontological site along the coast of Nova Scotia (eastern Canada), have been described as the “coal age Galápagos” due to their wealth of fossils from the Carboniferous period (354 to 290 million years ago). The rocks of this site are considered to be iconic for this period of the history of Earth and are the world’s thickest and most comprehensive record of the Pennsylvanian strata (dating back 318 to 303 million years) with the most complete known fossil record of terrestrial life from that time. These include the remains and tracks of very early animals and the rainforest in which they lived, left in situ, intact and undisturbed. With its 14.7 km of sea cliffs, low bluffs, rock platforms and beach, the site groups remains of three ecosystems: estuarine bay, floodplain rainforest and fire prone forested alluvial plain with freshwater pools. It offers the richest assemblage known of the fossil life in these three ecosystems with 96 genera and 148 species of fossils and 20 footprint groups. The site is listed as containing outstanding examples representing major stages in the history of Earth.""",,,Nova Scotia,2008,,Site ,Geological ,,Multiple ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNESCO,,,,,,,689 ha,,,,,,,,,,,,UNESCO World Heritage Site,
Kluane / Wrangell-St. Elias / Glacier Bay / Tatshenshini-Alsek,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",UNESCO,"https://whc.unesco.org/en/list/72, https://fngovernance.org/wp-content/uploads/2020/06/RSL_Tatshenshini.pdf",60°37′10″N ,138°19′52″W,,,Yukon ,"Champagne and Aishihik First Nations (CAFN), descendants of the Tlingit and Tuchone (source: https://fngovernance.org/wp-content/uploads/2020/06/RSL_Tatshenshini.pdf) ",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Quill_Creek%2C_Kluane_National_Park%2C_Yukon%2C_Canada.jpg/560px-Quill_Creek%2C_Kluane_National_Park%2C_Yukon%2C_Canada.jpg,,"""Kluane National Park and Reserve (/kluːˈɑːniː/; French: Parc national et réserve de parc national de Kluane) are two protected areas in the southwest corner of the territory of Yukon. The National Park Reserve was set aside in 1972 to become a national park, pending settlement of First Nations land claims. It covered an area of 22,013 square kilometres (8,499 square miles). When agreement was reached with the Champagne and Aishihik First Nations over an eastern portion of the Reserve, that part—about 5,900 square kilometres (2,300 square miles)—became a national park in 1993, and is a unit of the national park system administered co-operatively with Parks Canada. The larger western section remains a Reserve, awaiting a final land claim settlement with the Kluane First Nation. The park borders British Columbia to the south, while the Reserve borders both British Columbia to the south, and the United States (Alaska) to the south and west.""",,,,"1979, 1992, 1994",,Site ,Multiple ,,Multiple ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNESCO,,,,,,,"5,900 km2 ",,,,,,,,,,,,UNESCO World Heritage Site,
Miguasha National Park ,"Miguasha Fossil Site, the Bay of Escuminac Fossil Site, the Upper Devonian Escuminac Formation, Hugh-Miller Cliffs, Scaumenac Bay.","May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",UNESCO,"https://whc.unesco.org/en/list/686,https://en.wikipedia.org/wiki/Kluane_National_Park_and_Reserve ",48°06′38″N ,66°22′10″W,,,Quebec,"Mi’kma’ki 
Wabanaki (Dawnland Confederacy)",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Miguasha_panorama_1.jpg/568px-Miguasha_panorama_1.jpg,,"""Miguasha Provincial Park (French: Parc national de Miguasha) is a protected area near Carleton-sur-Mer on the Gaspé Peninsula of Quebec in Canada. Created in 1985 by the Government of Quebec, Miguasha was designated a World Heritage Site in 1999 in recognition of its wealth of fossils, which display a crucial time during the evolution of life on Earth. Other names for this site are the Miguasha Fossil Site, the Bay of Escuminac Fossil Site, the Upper Devonian Escuminac Formation, and the Hugh-Miller Cliffs. It is also sometimes referred to on fossil specimens as 'Scaumenac Bay' or 'Scaumenac Bay P.Q.'""",,,Quebec,1999,,Site ,Multiple ,,Multiple ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNESCO,National Park,,,,,,"87,3 ha",,,,,,,,,,,,UNESCO World Heritage Site,
Mistaken Point ,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",UNESCO,"https://whc.unesco.org/en/list/1497, https://www.gov.nl.ca/ecc/natural-areas/wer/r-mpe/",46°37′32″N,53°09′41″W,,,Newfoundland ,"Beothuk 
Mi’kma’ki ",https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Ediacaran_fossils_Mistaken_Point_Newfoundland.jpg/568px-Ediacaran_fossils_Mistaken_Point_Newfoundland.jpg,,"""This fossil site is located at the south-eastern tip of the island of Newfoundland, in eastern Canada. It consists of a narrow, 17 km-long strip of rugged coastal cliffs. Of deep marine origin, these cliffs date to the Ediacaran Period (580-560 million years ago), representing the oldest known assemblages of large fossils anywhere. These fossils illustrate a watershed in the history of life on earth: the appearance of large, biologically complex organisms, after almost three billion years of micro-dominated evolution.""",,,Government of Newfoundland and Labrador ,2016,,Site ,Multiple ,,Multiple ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNESCO,,,,,,,,,,,,,,,,,,,UNESCO World Heritage Site,
Nahanni National Park ,"Nahanni or Nááts'įhch'oh National Park Reserves, ","May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",UNESCO,"https://whc.unesco.org/en/list/24, https://en.wikipedia.org/wiki/Nahanni_National_Park_Reserve, https://parks.canada.ca/pn-np/nt/nahanni",61°32′50″N ,125°35′22″W,,,Northwest Territories ,Dehcho Dene,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Nahanni_-VirginiaFalls2.jpg/568px-Nahanni_-VirginiaFalls2.jpg,,"""Located along the South Nahanni River, one of the most spectacular wild rivers in North America, this park contains deep canyons and huge waterfalls, as well as a unique limestone cave system. The park is also home to animals of the boreal forest, such as wolves, grizzly bears and caribou. Dall's sheep and mountain goats are found in the park's alpine environment.""",,,"The park reserve is managed co-operatively with the Dehcho First Nations (DFN), the umbrella group that represents First Nations and Métis people in the Dehcho region of the Northwest Territories. The Naha Dehé Consensus Team, made up of representatives from Parks Canada and the DFN, is the body that undertakes co-operative management to maintain the ecological integrity of the national park reserve.",1978,,Site ,Multiple ,,Multiple ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNESCO,National Park,,,,,,"470,000 hectare",,,,,,,,,,,,UNESCO World Heritage Site,
Wood Buffalo National Park,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",UNESCO,"https://whc.unesco.org/en/list/256, https://parks.canada.ca/pn-np/nt/woodbuffalo , https://cpawsnab.org/wood-buffalo-np/ ",59°23′N ,112°59′W,,,,"Mikisew Cree First Nation
Athabasca Chipewyan First Nation
Fort Chipewyan Metis, ittle Red River Cree First Nation, Smith Landing First Nation, Salt River First Nation, Fort Smith Metis Council, K'atl'Odeeche First Nation, Hay River Metis Council, Deninu Kue First Nation, Fort Resolution Metis Council (source: https://parks.canada.ca/pn-np/nt/woodbuffalo/culture) ",,,"Situated on the plains in the north-central region of Canada, the park (which covers 44,807 km2) is home to North America's largest population of wild bison. It is also the natural nesting place of the whooping crane. Another of the park's attractions is the world's largest inland delta, located at the mouth of the Peace and Athabasca rivers.",,,"Parks Canada in partnership with 11 First Nations: Mikisew Cree First Nation, Athabasca Chipewyan First Nation, Fort Chipewyan Metis, ittle Red River Cree First Nation, Smith Landing First Nation, Salt River First Nation, Fort Smith Metis Council, K'atl'Odeeche First Nation, Hay River Metis Council, Deninu Kue First Nation, Fort Resolution Metis Council",1983,,Site ,Multiple ,,Multiple ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNESCO,National Historic Site,,,,,," 44,741 sq.km.",,,,,,,,,,,,UNESCO World Heritage Site,
Pimachiowin Aki,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",UNESCO,"https://pimaki.ca/, https://whc.unesco.org/en/list/1415, https://parks.canada.ca/culture/spm-whs/sites-canada/sec02s, ",51°49′N ,95°24′W,,,Manitoba/ Ontario ,Aninshinaabeg,,,"Pimachiowin Aki (/ˌpɪˈmætʃəwɪn ɑːˈkiː/ pih-MATCH-uh-win ah-KEE) is a UNESCO World Heritage Site located in the boreal forest that covers parts of Manitoba and Ontario. The site is more than 29,000 square kilometres (11,000 sq mi) in area, and includes ancestral lands of four First Nations including Poplar River First Nation, Little Grand Rapids First Nation, Pauingassi First Nation, and Bloodvein First Nation.[1][2] The area also includes the Manitoba Provincial Wilderness Park of Atikaki Provincial Park and the Ontario Woodland Caribou Provincial Park. The World Heritage Site's original proposal started with the signing of the Protected Areas and First Nation Resource Stewardship Accord in 2002.[3] The name means land that gives life in Ojibwe (ᐱᒪᒋᐅᐃᐧᓂ ᐊᑭ).[4]",,,"Cared for by Anishinaabeg for over 7,000 years",2018,,Site ,Multiple ,,Aninshinaabeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNESCO,,,,,,,"29,040 sq.km",,,,,,,,,,,,UNESCO World Heritage Site,
"Minhrpa, Banff National Park of Canada","Banff area, known as ""Minhrpa"" (translated in Stoney Nakoda as ""the waterfalls"")","May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,"https://parks.canada.ca/pn-np/ab/banff/info/gestion-management/involved/plan, https://www.nationalparkstraveler.org/2022/09/seeing-albertas-national-parks-through-indigenous-lens , Binnema, Theodore (Ted), and Melanie Niemi. “‘let the line be drawn now’: Wilderness, conservation, and the exclusion of Aboriginal people from Banff National Park in Canada.” Environmental History, vol. 11, no. 4, 2006, pp. 724–750, https://doi.org/10.1093/envhis/11.4.724. ",51.5°N,116.0°W,,Banff,Alberta ," Ktunaxa ɁamakɁis 
 Ĩyãħé Nakón mąkóce (Stoney) 
 Niitsítpiis-stahkoii ᖹᐟᒧᐧᐨᑯᐧ ᓴᐦᖾᐟ (Blackfoot / Niitsítapi ᖹᐟᒧᐧᒣᑯ)
 Tsuut’ina 
 Michif Piyii (Métis) ",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Moraine_Lake_17092005.jpg/568px-Moraine_Lake_17092005.jpg,,"The Banff area, known as ""Minhrpa"" (translated in Stoney Nakoda as ""the waterfalls"") is part of the Treaty 7 territory where we recognise oral practices of the Îyârhe Nakoda (Stoney Nakoda) – comprised of the Bearspaw, Chiniki, and Goodstoney First Nations – as well as the Tsuut'ina First Nation and the Blackfoot Confederacy comprised of the Siksika, Piikani, Kainai. This territory is home to the Shuswap Nations, Ktunaxa Nations, and Métis Nation of Alberta, Region 3. We acknowledge all Nations who live, work, and play here, help us steward this land, and honour and celebrate this place. (Source: https://www.banffcentre.ca/participant-resources/your-stay/indigenous-participants#:~:text=The%20Banff%20area%2C%20known%20as,First%20Nation%20and%20the%20Blackfoot) ",,,"Parks Canada, Banff National Park is within the present-day territories of the Treaty 6, 7, and 8, First Nations as well as the Métis Homeland.","1885 (Parks Canada), 1984 (UNESCO)",,Site ,Multiple ,,Multiple ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,641 sq. km",,,,,,,,,,,,https://www.nationalparkstraveler.org/2022/09/seeing-albertas-national-parks-through-indigenous-lens,
"Paahtómahksikimi, Waterton Lakes National Park of Canada",The traditional Blackfoot name for Waterton Lakes - Paahtómahksikimi (BUCK-toe-MOCK-sick-ih-mee) - means the inner sacred lake within the mountains.,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,"https://parks.canada.ca/pn-np/ab/waterton , https://en.wikipedia.org/wiki/Waterton_Lakes_National_Park , https://parks.canada.ca/pn-np/ab/waterton/info/index/directeur-management/noveau-new-entendu-heard/entendu-heard-1 , Binnema, Theodore (Ted), and Melanie Niemi. “‘let the line be drawn now’: Wilderness, conservation, and the exclusion of Aboriginal people from Banff National Park in Canada.” Environmental History, vol. 11, no. 4, 2006, pp. 724–750, https://doi.org/10.1093/envhis/11.4.724., https://www.facebook.com/pculturalcentre/?ref=page_internal&utm_source=TravelAlberta-ATIS&utm_medium=TravelAlberta&utm_campaign=ATIS%20-%20Alberta%20Tourism%20Information%20Service&utm_content=Listing%2F18955%2Fen-CA , https://paahtomahksikimi.ca/pages/blackfoot-culture ","49°02′45″N 
",113°54′55″W,,Waterton Park,Alberta ,"Cayuse, Umatilla and Walla Walla 
 Ktunaxa ɁamakɁis
 Ĩyãħé Nakón mąkóce (Stoney) 
 Niitsítpiis-stahkoii ᖹᐟᒧᐧᐨᑯᐧ ᓴᐦᖾᐟ (Blackfoot / Niitsítapi ᖹᐟᒧᐧᒣᑯ)
 Tsuut’ina ",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Watertonlake.jpg/568px-Watertonlake.jpg,,"""Traditionally, Paahtómahksikimi was a place for gathering, peacemaking or treatymaking between the Blackfoot Confederacy and other First Nations. The Blackfoot established trading alliances with many nations. Paahtómahksikimi is one of many gathering places where they met and traded. For example, they traded Buffalo robes and guns for red clay ochre paint, salmon, and dentillium shells with the Shuswap and Okanagan.

Long before explorers, park founders and surveyors named mountains, rivers and valleys in Waterton Lakes, Blackfoot people named the places that are important to them. Mountains are alive and the Blackfoot name them as they name people: Nii’tsitsspitaa - The Only Tall Person (Mount Cleveland), or Sáíkímao’pii – The Person Who Sits Across the Valley (Mount Crandell).  Our way of life is enhanced by the knowledge and experience we have from being in these places.

Blood Indian Reserve No. 148a. In accordance with the Blackfoot Treaty of 1877 (Treaty 7) a timber reserve was set aside for the use and benefit of the Blood Tribe/Kainai and designated as Reserve No 148A in 1889. Commonly referred to as the “Timber Limit”, it is situated along the Belly River about 64km (40 miles) southwest of the main Kainai Reserve No 148. The Timber Limit is comprised of 1,940 hectares (4,795 acres) and is managed by the Blood Tribe/Kainai and remains a very important area for traditional ceremonies, harvesting and maintaining a connection to the land.""",,,"""Waterton Lakes National Park collaborates on many initiatives with Glacier National Park (U.S. National Park Service), the Kainai and Piikani First Nations, provincial agencies and with many university departments in both Canada and the U.S. The park also participates in several forums and networks."" More info here: https://parks.canada.ca/pn-np/ab/waterton/info/partenaires-partners",1895,,Site ,Multiple ,,Multiple ,,,,George William Knight (1884-1916),Andrew Ford (1890-1951),Abner Gladstone Virtue (1891-1960),Angus Sutherland Binnie (1895-1933),Charles Frederick Reilly (1890-1977),Esther Pickering Harland (1889-1988),Harry Northover Reeves (1898-1984),Herbert Knight (1885-1962),John Alfred Frankish (1887-1969),John Charles Holroyd (1889-1974),John Edward Pittaway (1879-1954),Margaret Elliot Thomson McNally (1887-1987),Vincent Rawlins (1893-1918),William Henry Matkin (1896-1971),,,,,,,,,,,,,,,,,,,,UNESCO,National Park,,,,,,505 sq. km,,,,,,,,,,,,"In these Hometown Heroes pages, Parks Canada recognizes those from and associated with Waterton Lakes National Park who served in the war. https://parks.canada.ca/pn-np/ab/waterton/culture/histoire-history/hero ",
 Jasper National Park of Canada,Miette,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,"https://en.wikipedia.org/wiki/Jasper_National_Park, https://parks.canada.ca/pn-np/ab/jasper/autochtones-indigenous, https://www.canada.ca/en/parks-canada/news/2022/01/jasper-indigenous-forum-and-parks-canada-agree-on-miette-as-temporary-name-for-jasper-national-park-campground.html,  , Binnema, Theodore (Ted), and Melanie Niemi. “‘let the line be drawn now’: Wilderness, conservation, and the exclusion of Aboriginal people from Banff National Park in Canada.” Environmental History, vol. 11, no. 4, 2006, pp. 724–750, https://doi.org/10.1093/envhis/11.4.724. ",52.87722,-118.08,,Jasper ,Alberta ," Ktunaxa ɁamakɁis 
 As’in’i’wa’chi Niy’yaw Askiy (Rocky Mountain Cree) 
 Ĩyãħé Nakón mąkóce (Stoney) 
 Secwepemcúl’ecw (Secwépemc) 
 Tsuut’ina 
 Michif Piyii (Métis) 
 Mountain Métis, Anishinabe, Aseniwuche Winewak, Dene-zaa, Nêhiyawak",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Athabasca_Glacier_on_the_Columbia_Icefield.jpg/568px-Athabasca_Glacier_on_the_Columbia_Icefield.jpg ,,"""Before 1907, the boundaries of what is now Jasper National Park did not exist. Since time immemorial, a diversity of Indigenous peoples lived on this land, and utilized and cared for the natural resources. Some groups spent almost all year in the Rocky Mountains, while others came to or through the area on a seasonal basis to access resources and ceremonial sites, to meet with other groups, or to use the mountain passes that permitted travel across the mountains. Indigenous peoples protected the land and resources according to the learned principles of conservation and their worldviews that see humans as part of, and something that must remain in balance with, the land and ecosystems on which they relied. This intimate knowledge of the land is expressed through the concept of respect – respect for the land, respect for living things, respect for Elders and respect for traditional ways.""",,,"Parks Canada , in consultation with local Indigenous groups ","1907, 1930, 1984",,Site ,Multiple ,,Multiple ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,000 sq. km ",,,,,,,,,,,,"""The forced removal and exclusion of Indigenous peoples from the lands that became Jasper National Park as well as other Government of Canada policies that restricted movement, harvesting and physical, cultural and spiritual practices has resulted in a disconnection of these peoples from their ancestral and familiar lands. """,
Yoho National Park of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,"https://parks.canada.ca/pn-np/bc/yoho/gestion-mgmt/plandirecteur-mgmtplan/plan-2022#section-10, https://parks.canada.ca/pn-np/bc/yoho/autochtone-indigenous,  , Binnema, Theodore (Ted), and Melanie Niemi. “‘let the line be drawn now’: Wilderness, conservation, and the exclusion of Aboriginal people from Banff National Park in Canada.” Environmental History, vol. 11, no. 4, 2006, pp. 724–750, https://doi.org/10.1093/envhis/11.4.724. ",51°23′43″N,116°29′12″W,"Field, BC V0A 1G0",,British Columbia ,Ktunaxa and Secwépemc peoples (Parks Canada),https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Takakkaw_Falls.jpg/250px-Takakkaw_Falls.jpg,,"""Yoho National Park is located in the traditional territories of the Secwepemc and Ktunaxa First Nations. Before the establishment of the park, the Ktunaxa primarily used the area—specifically, Kicking Horse Pass—to cross the Rockies in order to access bison hunting grounds on the eastern side of the mountains. The park was created following a trip by Prime Minister John A. Macdonald and his wife Agnes through the Rockies on the newly completed Canadian Pacific Railway, Canada's first transcontinental. After his return to Ottawa, Yoho National Park was created on October 10, 1886. Glacier National Park was created on the same day, making Yoho and Glacier the second and third national parks in the country, after Rocky Mountains Park (now named Banff National Park).

The contiguous national parks of Banff, Jasper, Kootenay, and Yoho, as well as the Mount Robson, Mount Assiniboine, and Hamber provincial parks, were declared a UNESCO World Heritage Site in 1984.""",,,Parks Canada,1886  and 1984,,Site ,Multiple ,,Multiple ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,313 sq. km. ",,,,,,,,,,,,"""Yoho National Park was created in 1886, one year after Canada’s first national park was established at Banff. Like many of Canada’s earliest national parks, Yoho was established in a time when, through government policy and law, Indigenous peoples were separated from their traditional lands and waters. Enforcement of hunting and gathering prohibitions, combined with other Government of Canada policies such as those restricting the ability of Indigenous people to leave reserves, resulted in their exclusion from the park.""",
